Cycle,Current,Voltage,Temperature,SOC
3900.0,-702.8403277392163,4.1901951,40.870476,1.0
3900.0,-702.8403277392163,4.1680832,40.882942,0.9996862353583924
3900.0,-739.3683929097325,4.1660805,40.858009,0.9993561603995836
3900.0,-739.3741781435376,4.1645579,40.92038,0.9990260861780812
3900.0,-739.3661509035214,4.163156,40.907913,0.9986960122201676
3900.0,-739.3738920946116,4.1617141,40.932842,0.998365938126364
3900.0,-739.3658739028517,4.1605525,40.970242,0.9980358642921114
3900.0,-739.373298573338,4.1595507,40.895409,0.99770579046327
3900.0,-739.3748998149312,4.1582289,40.895409,0.9973757159195964
3900.0,-739.3649969415835,4.1571875,40.945309,0.9970456424768436
3900.0,-739.3727403549764,4.1564665,40.870476,0.9967155688972044
3900.0,-739.366869906539,4.1557856,40.895409,0.9963854946183072
3900.0,-739.3724622895027,4.1546636,40.982708,0.996055421162803
3900.0,-739.3745276327369,4.153542,40.932842,0.99572534678528
3900.0,-739.3671462236156,4.1525807,40.945309,0.9953952723830274
3900.0,-739.3722801351998,4.1519399,40.945309,0.995065199008841
3900.0,-739.3643700768108,4.1511788,40.945309,0.9947351258459386
3900.0,-739.3745868493684,4.1504579,40.845543,0.9944050514419802
3900.0,-739.3662234251553,4.1495762,40.870476,0.9940749774516908
3900.0,-739.3742510687391,4.1489754,40.932842,0.9937449031976328
3900.0,-739.373674088067,4.1482944,40.945309,0.9934148292011528
3900.0,-739.3652526044646,4.1477337,40.957775,0.9930847556442652
3900.0,-739.3720539620919,4.1468525,40.957775,0.9927546823710476
3900.0,-739.3643908286715,4.1461716,40.932842,0.9924246091988812
3900.0,-739.3706440667468,4.1454506,40.970242,0.9920945365550746
3900.0,-739.3715134928614,4.1449699,40.895409,0.9917644635231356
3900.0,-739.3665685529498,4.1443286,40.92038,0.9914343893787714
3900.0,-739.3728395254393,4.1435676,40.932842,0.99110431575486
3900.0,-739.3636820673028,4.1430469,40.957775,0.9907742428991044
3900.0,-739.3726523784263,4.1424861,41.007641,0.9904441693587398
3900.0,-739.3636577998417,4.1419654,40.970242,0.990114096513818
3900.0,-739.3703119482464,4.1412444,40.895409,0.9897840240182773
3900.0,-739.3700374228401,4.1405234,40.957775,0.9894539516452908
3900.0,-739.362428911491,4.1400027,40.982708,0.9891238793489796
3900.0,-739.370069197912,4.1392813,40.957775,0.9887938069618084
3900.0,-739.3622322815434,4.1388807,40.982708,0.9884637347532784
3900.0,-739.368876186073,4.1384001,40.932842,0.988133662898696
3900.0,-739.3624936449805,4.1377993,40.907913,0.9878035905734855
3900.0,-739.3721556960397,4.1370783,40.945309,0.987473517254852
3900.0,-739.3715850630716,4.1363974,40.945309,0.9871434441909622
3900.0,-739.3621578922449,4.1357965,40.957775,0.9868133720156416
3900.0,-739.3704699813277,4.135396,40.982708,0.986483299449551
3900.0,-739.3627366127027,4.1348753,40.995174,0.9861532270158734
3900.0,-739.3694934257469,4.1343946,40.932842,0.9858231548857402
3900.0,-739.3711766990291,4.1337533,41.032574,0.985493082004154
3900.0,-739.363130971234,4.1331925,40.957775,0.9851630093944236
3900.0,-739.3701849578108,4.1328321,40.970242,0.9848329369555742
3900.0,-739.362485881457,4.1321111,40.92038,0.98450286463383
3900.0,-739.3706289299439,4.13131,40.932842,0.9841727919967808
3900.0,-739.3632075211525,4.1313901,40.932842,0.9838427193528764
3900.0,-739.3700764001036,4.1308694,40.932842,0.9835126469624896
3900.0,-739.3716022384596,4.1301885,40.957775,0.9831825738909324
3900.0,-739.3652460004819,4.1296277,40.970242,0.982852500336993
3900.0,-739.3723227379796,4.1291871,40.995174,0.9825224269437876
3900.0,-739.3631917619468,4.1284256,40.932842,0.9821923543069184
3900.0,-739.3713703646583,4.1279449,40.995174,0.9818622813388752
3900.0,-739.3709107430002,4.1276646,41.032574,0.9815322085760182
3900.0,-739.3638785141272,4.1269436,40.932842,0.9812021356325632
3900.0,-739.3710428237979,4.1265831,41.007641,0.980872062810742
3900.0,-739.3644339803249,4.1260223,41.020107,0.9805419896193116
3900.0,-739.3714686928162,4.1257019,41.020107,0.9802119166073724
3900.0,-739.363481055057,4.125021,41.007641,0.9798818438413543
3900.0,-739.3713501863026,4.1243801,40.932842,0.9795517708823194
3900.0,-739.3718029353346,4.1241798,40.982708,0.9792216977211664
3900.0,-739.3642864346496,4.1236591,40.92038,0.9788916245956042
3900.0,-739.3723228356108,4.1228576,40.970242,0.9785615512023554
3900.0,-739.3644055014329,4.122457,40.995174,0.9782314780236384
3900.0,-739.3717068655042,4.1221366,40.970242,0.9779014049053734
3900.0,-739.3725837867329,4.1216159,40.945309,0.9775713313956298
3900.0,-739.3656515283819,4.1211352,40.970242,0.9772412576606512
3900.0,-739.3733544940688,4.1203742,40.957775,0.9769111838068456
3900.0,-739.3659893686348,4.1198936,40.945309,0.9765811099210452
3900.0,-739.3730979252507,4.1195331,40.982708,0.976251036181778
3900.0,-739.365687465542,4.1190124,41.020107,0.9759209624307562
3900.0,-739.3738762131817,4.1183715,40.995174,0.9755908883440426
3900.0,-739.3739467580178,4.1180906,40.982708,0.975260814225836
3900.0,-739.3659273449874,4.11765,40.982708,0.9749307403677252
3900.0,-739.374467927839,4.1170492,40.995174,0.974600666016856
3900.0,-739.3662270018042,4.1167688,41.020107,0.97427059202497
