Cycle,Current,Voltage,Temperature,SOC
0.0,-704.8003305333422,4.1898103,40.629677,1.0
0.0,-704.8003305333422,4.1738853,40.679585,0.9997328354136916
0.0,-741.4162559047521,4.1723208,40.56723,0.999451788213418
0.0,-741.4154892278631,4.1710372,40.642143,0.9991707441306036
0.0,-741.4033476027563,4.1699543,40.592201,0.9988897018234544
0.0,-741.4055334609702,4.1686301,40.642143,0.998608661514515
0.0,-741.3989734531058,4.1676679,40.617176,0.9983276208654662
0.0,-741.4074368770587,4.1666646,40.617176,0.9980465798350098
0.0,-741.3924620941212,4.1659427,40.554764,0.997765541654209
0.0,-741.3990087063413,4.16506,40.629677,0.9974845038185708
0.0,-741.4037418147949,4.1640978,40.642143,0.9972034613619885
0.0,-741.4215021328802,4.1635761,40.642143,0.9969224121730372
0.0,-741.4338866665195,4.1628141,40.71706,0.996641361116412
0.0,-741.4247865903162,4.1619716,40.692089,0.9963603106824284
0.0,-741.4273235449839,4.1613297,40.642143,0.9960792621136476
0.0,-741.4198144331789,4.160728,40.654652,0.9957982135644496
0.0,-741.4234340341392,4.1601663,40.579735,0.9955171664700432
0.0,-741.4122338897042,4.1596851,40.56723,0.9952361207943868
0.0,-741.4178387767375,4.1589632,40.60471,0.9949550758209424
0.0,-741.4125011979839,4.1584015,40.554764,0.994674030043958
0.0,-741.4259103903419,4.1578398,40.71706,0.9943929820108538
0.0,-741.41804580124,4.1572785,40.667118,0.9941119341320876
0.0,-741.4291382154724,4.1565962,40.654652,0.9938308848754304
0.0,-741.4138695632698,4.156075,40.629677,0.9935498385797424
0.0,-741.41164181481,4.1556334,40.642143,0.9932687931285228
0.0,-741.4240766279544,4.1552725,40.642143,0.992987745790532
0.0,-741.4104702748281,4.1546712,40.71706,0.9927067007834056
0.0,-741.4114029996441,4.1540694,40.629677,0.992425658249534
0.0,-741.405116832841,4.1535878,40.679585,0.9921446152717266
0.0,-741.4127646891538,4.1530666,40.60471,0.9918635722216872
0.0,-741.3972554068671,4.1527052,40.60471,0.9915825322238948
0.0,-741.4051387566816,4.152144,40.704556,0.9913014920645736
0.0,-741.4025063957154,4.1517024,40.579735,0.9910204500762992
0.0,-741.4106582568412,4.1512213,40.629677,0.990739407824733
0.0,-741.4035573552005,4.1508603,40.60471,0.9904583654380736
0.0,-741.4105368938739,4.1504593,40.617176,0.9901773232325116
0.0,-741.4070583399499,4.1498976,40.617176,0.9898962795187408
0.0,-741.4005464316546,4.1493759,40.629677,0.989615238273426
0.0,-741.4109250551577,4.149055,40.654652,0.989334195920726
0.0,-741.4084522177656,4.1485338,40.60471,0.9890531516785808
0.0,-741.4166870859318,4.1480122,40.60471,0.9887721071417008
0.0,-741.406804215153,4.1478114,40.679585,0.9884910635242606
0.0,-741.410231411258,4.1470895,40.629677,0.9882100214344964
0.0,-741.4134877901362,4.1466885,40.642143,0.9879289752835264
0.0,-741.4153620787376,4.1459665,40.654652,0.9876479312489096
0.0,-741.4057530725671,4.1456056,40.692089,0.987366888029924
0.0,-741.4182200165986,4.1454849,40.679585,0.9870858429119652
0.0,-741.4071155540461,4.1449637,40.654652,0.9868047991765062
0.0,-741.4143432621728,4.1444821,40.60471,0.986523755528086
0.0,-741.4109284026039,4.1442413,40.679585,0.9862427103472984
0.0,-741.4118710617697,4.1437602,40.667118,0.9859616648091784
0.0,-741.4140576527215,4.1431985,40.679585,0.9856806212690228
0.0,-741.4090822563592,4.1430383,40.629677,0.98539957678805
0.0,-741.4204292570746,4.1425567,40.667118,0.9851185308326472
0.0,-741.4132782818651,4.1420755,40.642143,0.9848374847610952
0.0,-741.4228103979376,4.141674,40.692089,0.984556437903087
0.0,-741.4107502417841,4.141233,40.642143,0.984275392789834
0.0,-741.4124078268753,4.1404309,40.71706,0.9839943498750684
0.0,-741.4124115988394,4.140471,40.679585,0.9837133041320484
0.0,-741.4179019240588,4.1399093,40.667118,0.983432259134667
0.0,-741.411214790397,4.1397085,40.667118,0.9831512138453186
0.0,-741.422543013693,4.1393075,40.692089,0.9828701670886664
0.0,-741.410374694224,4.1389065,40.642143,0.9825891221177716
0.0,-741.410356225045,4.1383848,40.642143,0.982308077153878
0.0,-741.4167568861179,4.1383047,40.654652,0.9820270325905394
0.0,-741.4176698264173,4.1376629,40.679585,0.9817459848542932
0.0,-741.4635187608395,4.1372218,40.679585,0.9814649225652012
0.0,-741.4572262837278,4.1370211,40.654652,0.9811838598343668
0.0,-741.46581684458,4.1362591,40.629677,0.9809027966741536
0.0,-741.4524578366162,4.136179,40.60471,0.9806217357508848
0.0,-741.469318487121,4.1355772,40.667118,0.9803406712633242
0.0,-741.4597648705746,4.1353765,40.679585,0.9800596075701928
0.0,-741.4627560247768,4.1348553,40.71706,0.9797785455702266
0.0,-741.4560870187869,4.1345344,40.704556,0.9794974832712512
0.0,-741.459763296143,4.1342936,40.679585,0.9792164224057214
0.0,-741.4546354144011,4.1336918,40.679585,0.9789353606570026
0.0,-741.4585502155692,4.13309,40.754498,0.978654297424308
0.0,-741.4654607269355,4.1329298,40.629677,0.9783732343990862
0.0,-741.4642412658677,4.1325684,40.692089,0.978092169009096
0.0,-741.466371254354,4.132288,40.71706,0.977811105638726
0.0,-741.4549918214184,4.1317263,40.704556,0.9775300437549048
0.0,-741.4673702465986,4.1316862,40.679585,0.9772489800058524
0.0,-741.4597158717697,4.1310844,40.642143,0.9769679163312944
0.0,-741.4833738123796,4.1306028,40.592201,0.9766868465158632
0.0,-741.4828539115691,4.1300817,40.692089,0.976405774070414
0.0,-741.4937688882767,4.129921,40.704556,0.9761247003145814
0.0,-741.4786466800709,4.12956,40.679585,0.9758436294639592
0.0,-741.4862004024229,4.1290388,40.742031,0.9755625585770686
0.0,-741.4787038697707,4.1288381,40.704556,0.975281487704768
0.0,-741.4817656841577,4.128397,40.704556,0.9750004156718312
0.0,-741.4913817171326,4.1279154,40.704556,0.9747193428208896
0.0,-741.4864697761283,4.1274343,40.692089,0.974438269004782
0.0,-741.4935778105818,4.1273136,40.729527,0.9741571953213798
0.0,-741.4779647496688,4.1267118,40.704556,0.973876124729256
0.0,-741.5284362272295,4.1265917,40.667118,0.9735950378322752
0.0,-741.537159384953,4.1258698,40.667118,0.9733139448013574
0.0,-741.5351388758868,4.1257896,40.642143,0.9730328553636426
0.0,-741.5298126294423,4.1253881,40.679585,0.9727517651176448
0.0,-741.5397791110254,4.1252279,40.667118,0.972470673920983
0.0,-741.5278132856919,4.1246662,40.742031,0.9721895844328724
0.0,-741.5301603088323,4.1241045,40.654652,0.9719084968823544
0.0,-741.5303414600457,4.1237836,40.667118,0.971627406435894
0.0,-741.5326900697493,4.1236234,40.654652,0.9713463150991506
0.0,-741.5310144150096,4.1233826,40.742031,0.9710652272248712
0.0,-741.51831070525,4.1228209,40.704556,0.9707841413388854
0.0,-741.5322804863653,4.1224599,40.754498,0.970503052984684
0.0,-741.522664359359,4.1220589,40.679585,0.9702219654483668
0.0,-741.5370742501127,4.1216578,40.679585,0.9699408752770208
0.0,-741.5260122808884,4.1215372,40.742031,0.9696597864716135
0.0,-741.5344830983986,4.1210561,40.767006,0.9693786972824806
0.0,-741.5225690961764,4.1209359,40.754498,0.969097609782275
0.0,-741.5392193789198,4.1200533,40.692089,0.9688165187977874
0.0,-741.5245168898625,4.1200132,40.729527,0.9685354305592352
0.0,-741.5391811219034,4.1193714,40.692089,0.9682543395892498
0.0,-741.532015426911,4.1188898,40.692089,0.9679732485082418
